14,12,6,12,8,3,1.010714286,0.837142857,2,1,150050,,,,,,,,,
12,10,6,10,7,2,0.853571429,0.686428571,1,2,160050,,,,,,,,,
13,12,10,11,10,7,0.942142857,0.782857143,1,3,170050,,,,,,,,,
14,13,7,11,5,2,3.018571429,0.743571429,1,4,180050,,,,,,,,,
12,7,5,14,5,4,0.831428571,0.959285714,-2,0,170050,,,,,,,,,
11,9,8,12,6,5,2.776428571,0.824285714,1,1,170070,,,,,,,,,
8,7,3,11,8,4,0.544285714,0.766428571,-1,0,165070,,,,,,,,,
14,11,2,11,5,3,1.000714286,0.744285714,1,1,165090,,,,,,,,,
6,6,4,12,11,5,1.395,2.86,-2,0,155090,,,,,,,,,
13,6,3,8,7,4,2.894285714,0.545,1,1,155110,,,,,,,,,
13,11,3,12,11,6,0.93,0.860714286,2,2,165110,,,,,,,,,
7,7,13,13,11,5,1.48,0.931428571,2,3,175110,,,,,,,,,
8,8,9,13,10,5,1.555714286,0.924285714,2,4,185110,,,,,,,,,
8,6,3,11,7,6,0.537142857,0.760714286,-1,0,180110,,,,,,,,,
14,7,3,14,11,9,0.972857143,1.005714286,-2,0,180090,,,,,,,,,
12,11,9,13,9,3,2.862857143,0.915714286,2,1,180110,,,,,,,,,
10,6,5,4,4,11,0.681428571,1.242857143,-1,0,175110,,,,,,,,,
13,10,8,6,6,14,0.926428571,1.402142857,-2,0,175090,,,,,,,,,
14,8,6,14,6,4,2.982142857,0.966428571,2,1,175110,,,,,,,,,
14,13,9,11,11,9,1.02,1.791428571,-2,0,165110,,,,,,,,,
12,11,6,12,6,2,0.860714286,0.822142857,1,1,165130,,,,,,,,,
14,12,3,13,8,5,3.008571429,0.91,2,2,175130,,,,,,,,,
12,9,5,8,3,2,0.845714286,0.515,1,3,185130,,,,,,,,,
11,8,4,2,2,5,0.766428571,1.081428571,-1,0,180130,,,,,,,,,
7,6,4,10,8,6,0.466428571,0.696428571,-1,0,180120,,,,,,,,,
10,9,8,13,12,5,3.705,0.938571429,2,1,180140,,,,,,,,,
12,10,3,13,9,2,0.851428571,0.915,-2,0,170140,,,,,,,,,
13,13,7,14,13,6,1.947142857,1.017857143,2,1,170160,,,,,,,,,
11,7,4,9,7,5,2.759285714,0.617142857,1,2,180160,,,,,,,,,
11,4,2,9,6,3,0.736428571,0.608571429,-1,0,175160,,,,,,,,,
13,10,7,11,10,4,0.925714286,0.780714286,1,1,175180,,,,,,,,,
14,13,7,14,12,4,1.018571429,3.009285714,-2,0,165180,,,,,,,,,
9,9,4,8,7,3,1.630714286,0.544285714,1,1,165200,,,,,,,,,
6,5,2,14,8,7,0.386428571,0.982857143,-1,0,160200,,,,,,,,,
9,7,6,14,11,9,0.617857143,1.005714286,-1,0,160190,,,,,,,,,
14,12,7,14,9,8,1.011428571,0.990714286,2,1,160210,,,,,,,,,
12,6,2,13,13,14,0.822142857,1.952142857,-1,0,155210,,,,,,,,,
14,10,7,14,13,12,0.997142857,4.022142857,-2,0,155190,,,,,,,,,
11,10,5,13,13,6,2.781428571,1.946428571,2,1,155210,,,,,,,,,
10,5,4,9,3,2,0.673571429,0.586428571,-1,0,150210,,,,,,,,,
9,8,6,12,10,3,0.625,0.851428571,-1,0,150200,,,,,,,,,
14,13,2,12,9,8,1.015,0.847857143,2,1,150220,,,,,,,,,
9,8,4,12,11,7,0.623571429,0.861428571,-1,0,145220,,,,,,,,,
11,11,10,6,4,3,1.792142857,0.38,1,1,145240,,,,,,,,,
9,7,6,14,5,2,0.617857143,0.957857143,-1,0,140240,,,,,,,,,
13,11,2,11,10,2,2.929285714,0.779285714,1,1,140260,,,,,,,,,
9,8,5,13,12,10,0.624285714,0.942142857,-1,0,135260,,,,,,,,,
14,10,8,6,4,3,0.997857143,0.38,1,1,135280,,,,,,,,,
14,7,3,14,11,4,0.972857143,1.002142857,-2,0,125280,,,,,,,,,
13,9,7,13,6,5,0.918571429,0.895714286,2,1,125300,,,,,,,,,
14,9,7,14,9,6,0.99,0.989285714,2,2,135300,,,,,,,,,
12,12,7,2,2,13,1.868571429,1.087142857,2,3,145300,,,,,,,,,
14,13,11,14,8,6,1.021428571,0.982142857,2,4,155300,,,,,,,,,
11,11,14,13,5,4,1.795,0.887857143,2,5,165300,,,,,,,,,
12,11,9,6,6,9,0.862857143,1.398571429,-2,0,155300,,,,,,,,,
8,5,3,10,10,14,0.53,1.716428571,-1,0,155290,,,,,,,,,
10,7,5,4,4,13,0.688571429,1.244285714,-1,0,155280,,,,,,,,,
10,8,4,13,9,8,0.695,0.919285714,-1,0,155270,,,,,,,,,
6,6,14,13,8,2,1.402142857,0.907857143,2,1,155290,,,,,,,,,
14,10,6,11,6,3,0.996428571,0.751428571,1,2,165290,,,,,,,,,
7,7,13,13,12,3,1.48,2.937142857,-2,0,155290,,,,,,,,,
